Serial number,LOCATION,VISUAL.1,VISUAL.2,VISUAL.3,VISUAL.4,VISUAL.5,VISUAL.6,VISUAL.7,VISUAL.8,VISUAL.9,VISUAL.10,VISUAL.11,VISUAL.12,VISUAL.13,VISUAL.14,VISUAL.15,VISUAL.16,VISUAL.AMOUNT,AUDITORIAL.1,AUDITORIAL.2,AUDITORIAL.3,AUDITORIAL.4,AUDITORIAL.5,AUDITORIAL.6,AUDITORIAL.7,AUDITORIAL.8,AUDITORIAL.9,AUDITORIAL.10,AUDITORIAL.11,AUDITORIAL.12,AUDITORIAL.13,AUDITORIAL.14,AUDITORIAL.15,AUDITORIAL.16,AUDITORIAL.AMOUNT,KINESTHETIC.1,KINESTHETIC.2,KINESTHETIC.3,KINESTHETIC.4,KINESTHETIC.5,KINESTHETIC.6,KINESTHETIC.7,KINESTHETIC.8,KINESTHETIC.9,KINESTHETIC.10,KINESTHETIC.11,KINESTHETIC.12,KINESTHETIC.13,KINESTHETIC.14,KINESTHETIC.15,KINESTHETIC.16,KINESTHETIC.AMOUNT,FINAL,FINAL KLUE
106,YOGYAARTA DISTRICT,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,9,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,10,A,1
107,YOGYAARTA DISTRICT,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,6,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,K,3
108,YOGYAARTA DISTRICT,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,4,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,6,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,6,A,1
109,YOGYAARTA DISTRICT,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,6,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,8,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,7,A,1
110,YOGYAARTA DISTRICT,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,5,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,8,A,1
111,YOGYAARTA DISTRICT,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,5,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,7,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,6,A,1
112,YOGYAARTA DISTRICT,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,8,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,7,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,10,K,3
113,YOGYAARTA DISTRICT,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,12,V,2
114,YOGYAARTA DISTRICT,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,7,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,11,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,11,A,1
115,YOGYAARTA DISTRICT,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,5,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,10,K,3
116,YOGYAARTA DISTRICT,1,1,0,,1,1,1,0,0,0,0,1,0,1,0,0,7,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,9,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,5,K,3
117,YOGYAARTA DISTRICT,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,6,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,7,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,10,K,3
118,YOGYAARTA DISTRICT,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,9,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,8,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,10,V,2
119,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,6,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,10,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,7,A,1
120,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,8,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,7,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,11,K,3
121,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,5,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,8,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,12,K,3
122,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,5,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,8,K,3
123,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,9,K,3
124,YOGYAARTA DISTRICT,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,6,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,6,V,2
125,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,6,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,7,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,8,A,1
126,YOGYAARTA DISTRICT,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,7,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,10,K,3
127,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,9,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,8,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,10,V,2
128,YOGYAARTA DISTRICT,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,11,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,8,A,1
129,YOGYAARTA DISTRICT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,6,1,0,0,1,0,0,0,1,1,0,1,,1,1,1,0,8,A,1
130,YOGYAARTA DISTRICT,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,6,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,7,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,15,K,3
131,YOGYAARTA DISTRICT,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,8,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,9,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,11,K,3
132,YOGYAARTA DISTRICT,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,7,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,6,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,8,V,2
133,YOGYAARTA DISTRICT,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,8,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,9,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,10,A,1
134,YOGYAARTA DISTRICT,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,7,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,7,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,11,K,3
135,YOGYAARTA DISTRICT,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,6,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,10,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,14,A,1
136,YOGYAARTA DISTRICT,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,7,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,6,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,11,K,3
137,YOGYAARTA DISTRICT,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,8,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,10,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,9,A,1
138,YOGYAARTA DISTRICT,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,5,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,10,K,3
139,YOGYAARTA DISTRICT,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,6,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,6,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,10,K,3
140,YOGYAARTA DISTRICT,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,6,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,9,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,8,A,1
141,YOGYAARTA DISTRICT,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,5,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,9,K,3
142,YOGYAARTA DISTRICT,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,6,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,7,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,7,A,1
143,YOGYAARTA DISTRICT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,10,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,5,A,1
144,YOGYAARTA DISTRICT,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,10,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,8,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,10,V,2
145,YOGYAARTA DISTRICT,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,11,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,10,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,9,K,3
146,YOGYAARTA DISTRICT,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,6,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,6,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,13,K,3
147,YOGYAARTA DISTRICT,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,11,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,7,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,11,V,2
148,YOGYAARTA DISTRICT,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,6,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,8,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,10,A,1
149,YOGYAARTA DISTRICT,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,11,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,6,A,1
150,YOGYAARTA DISTRICT,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,8,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,12,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,14,A,1
151,YOGYAARTA DISTRICT,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,13,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,11,A,1
152,YOGYAARTA DISTRICT,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,7,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,10,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,11,A,1
153,YOGYAARTA DISTRICT,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,7,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,8,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,10,K,3
154,YOGYAARTA DISTRICT,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,9,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,11,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,7,K,3
155,YOGYAARTA DISTRICT,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,9,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,8,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,8,V,2
156,YOGYAARTA DISTRICT,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,6,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,9,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,9,A,1
157,YOGYAARTA DISTRICT,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,7,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,8,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,7,A,1
158,YOGYAARTA DISTRICT,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,10,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,10,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,8,K,3
159,YOGYAARTA DISTRICT,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,6,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,8,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,7,A,1
160,YOGYAARTA DISTRICT,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,7,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,5,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,10,K,3
161,YOGYAARTA DISTRICT,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,7,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,7,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,11,K,3
162,YOGYAARTA DISTRICT,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,9,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,10,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,7,K,3
163,YOGYAARTA DISTRICT,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,5,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,7,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,9,A,1
164,YOGYAARTA DISTRICT,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,5,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,7,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,8,A,1
165,YOGYAARTA DISTRICT,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,6,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,7,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,6,A,1
166,YOGYAARTA DISTRICT,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,8,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,9,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,8,A,1
167,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,8,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,10,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,9,A,1
168,YOGYAARTA DISTRICT,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,8,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,11,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5,K,3
169,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,10,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,6,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,10,V,2
170,YOGYAARTA DISTRICT,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,10,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,8,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,5,K,3
171,YOGYAARTA DISTRICT,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,6,1,1,0,0,0,0,1,1,0,1,,0,0,0,1,0,6,0,0,1,,0,0,0,1,0,0,0,1,1,1,0,0,5,K,3
172,YOGYAARTA DISTRICT,1,1,-1,1,1,1,1,1,0,1,0,1,1,0,0,1,10,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,6,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,8,V,2
173,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,9,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,8,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,12,K,3
174,YOGYAARTA DISTRICT,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,7,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,9,V,2
175,YOGYAARTA DISTRICT,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,10,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,6,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,10,V,2
176,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,8,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,5,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,8,V,2
177,YOGYAARTA DISTRICT,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,9,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,8,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,11,K,3
178,YOGYAARTA DISTRICT,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,6,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,8,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,6,A,1
179,YOGYAARTA DISTRICT,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,7,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,5,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,9,V,2
180,YOGYAARTA DISTRICT,1,0,1,1,,1,0,1,1,0,,,1,0,,0,7,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,11,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,8,A,1
181,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,10,V,2
182,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,9,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,7,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,11,V,2
183,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4,V,2
184,YOGYAARTA DISTRICT,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,10,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4,V,2
185,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,11,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,5,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,8,V,2
186,YOGYAARTA DISTRICT,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,10,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,5,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,8,V,2
187,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,6,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,9,K,3
188,YOGYAARTA DISTRICT,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,6,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,10,K,3
189,YOGYAARTA DISTRICT,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,7,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,6,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5,K,3
190,YOGYAARTA DISTRICT,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,12,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,7,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,9,V,2
191,YOGYAARTA DISTRICT,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,8,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,14,K,3
192,YOGYAARTA DISTRICT,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,6,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,9,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,10,A,1
193,YOGYAARTA DISTRICT,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,9,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,6,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,10,V,2
194,YOGYAARTA DISTRICT,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,9,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,10,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,7,K,3
195,YOGYAARTA DISTRICT,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,11,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,10,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,12,V,2
196,YOGYAARTA DISTRICT,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,9,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,8,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,9,V,2
197,YOGYAARTA DISTRICT,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,11,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,7,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,8,V,2
198,YOGYAARTA DISTRICT,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,7,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,9,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,12,K,3
199,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,9,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,11,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,K,3
200,YOGYAARTA DISTRICT,1,1,1,0,0,,0,1,1,1,1,1,0,0,0,0,8,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,7,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,8,V,2
201,YOGYAARTA DISTRICT,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,10,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,8,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,10,V,2
202,YOGYAARTA DISTRICT,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,7,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,7,V,2
203,YOGYAARTA DISTRICT,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,11,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,8,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,8,V,2
204,YOGYAARTA DISTRICT,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,12,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,8,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,11,V,2
205,YOGYAARTA DISTRICT,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,11,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,9,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,8,V,2
206,YOGYAARTA DISTRICT,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,6,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,10,K,3
207,YOGYAARTA DISTRICT,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,9,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,8,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,11,K,3
208,YOGYAARTA DISTRICT,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,7,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,10,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,10,A,1
209,YOGYAARTA DISTRICT,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,7,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,7,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,13,K,3
210,YOGYAARTA DISTRICT,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,8,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,8,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,9,K,3
211,YOGYAARTA DISTRICT,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,7,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,8,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,6,K,3
212,YOGYAARTA DISTRICT,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,6,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,8,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,8,A,1
213,YOGYAARTA DISTRICT,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,10,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,9,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,10,V,2
214,YOGYAARTA DISTRICT,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,8,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,9,A,1
